Macedonia,Skopje,macedoniaflag
Serbia,Belgrade,serbiaflag
Bulgaria,Sofia,bulgariaflag
Croatia,Zagreb,croatiaflag
Italy,Rome,italyflag
Korea,Seoul,koreaflag
China,Beijing,chinaflag
Turkey,Ankara,turkeyflag
America,Washington,americaflag
Belgium,Brussels,belgumflag
Germany,Berlin,germanyflag
Russia,Moscow,russiaflag
Canada,Ottawa,canadaflag
England,London,englandflag
Romania,Bucharest,romaniaflag
Hungary,Budapest,hungaryflag
Austria,Vienna,austriaflag
Slovakia,Bratislava,slovakiaflag
Ukraine,Kiev,ukraineflag
Poland,Warsaw,polandflag
